"","ewp_name","risk.2025and2026.from2024","rank.2025and2026.from2025","risk.2025only.from2024","riskrank.2025only.from2024","risk.2024and2025.from2023","rank.2024and2025.from2023","widetargeting","narrowtargeting","v2csgender_binary","v2mecenefm_binary","partyban.new.0","partyban.new.1","partyban.new.2","minorityrule","judicialreform","religiousfreedom","pol_killing_approved","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","popsize.log2","gdppcgrowth","un_imr_sqrt","efindex","discrimpop","reg.na","reg.eap","reg.sca","reg.mna","reg.eur","ios.iccpr1","battledeaths.log2","coup.try.5yr","mk_ongoing_count_log2","mean_mk_onset_interaction","mk_onset_prev_year","newcountry","mk_ever","year_sq","year","countryage.new.log2","includesnonstate","ccode"
"52","Haiti",0.01629,52,0.0111,46,0.01254,63,0,0,0,0,0,0,1,1,1,4,0,0.675,1,0,0,1,-0.883,23.49,-5.27,6.651,0.105,0,1,0,0,0,0,0,7.6,0,0,2,0,0,1,4097000,2024,6.508,1,41
"53","Zimbabwe",0.01578,53,0.007624,56,0.01731,51,0,0,0,1,0,0,1,1,1,4,1,0.238,0,1,0,1,-0.547,23.99,0.2289,5.674,0.415,0.01,0,0,0,0,0,0,0,0,0,2,0,0,1,4097000,2024,5.907,1,552
"54","Colombia",0.01472,54,0.01025,49,0.01418,55,0,0,0,0,0,0,1,0,1,4,0,0.687,0,0,0,1,0.522,25.66,0.6564,3.092,0.639,0,1,0,0,0,0,1,7.82,0,0,2,0,0,1,4097000,2024,7.607,1,100
"55","Togo",0.01449,55,0.009387,53,0.01403,57,0,0,0,1,0,0,1,0,1,4,0,0.343,0,0,0,0,-0.767,23.18,2.966,6.368,0.88,0,0,0,0,0,0,1,5.555,0,0,0,0,0,0,4097000,2024,6.022,1,461
"56","Mauritania",0.01432,56,0.007227,61,0.01452,54,0,0,0,0,0,1,0,1,1,1,0,0.579,1,0,0,1,-0.831,22.3,2.209,5.444,0.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4097000,2024,6.022,1,435
"57","Madagascar",0.01424,57,0.007942,55,0.015,53,0,0,0,0,0,0,1,0,1,4,0,0.669,0,0,0,1,-0.562,24.93,1.693,6.646,0.194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,6.022,1,580
"58","Equatorial Guinea",0.01355,58,0.007569,57,0.01378,58,0,0,1,1,0,1,0,1,1,3,0,0.302,0,0,1,1,-1.013,20.85,-1.49,7.197,0.35,0.115,0,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,5.833,1,411
"59","Rwanda",0.01288,59,0.007428,59,0.03164,25,0,0,0,1,0,1,0,1,1,3,0,0.154,0,1,0,1,-0.423,23.77,6.583,5.142,0.28,0,0,0,0,0,0,0,5.492,0,0,4,0,0,1,4097000,2024,5.977,1,517
"60","Ukraine",0.01288,60,0.006774,64,0.01287,59,0,0,0,1,0,1,0,0,1,2,0,0.579,0,0,0,0,-1.023,25.17,15.22,2.25,0.37,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4097000,2024,5.087,1,369
"61","Zambia",0.01243,61,0.007327,60,0.01273,61,0,0,0,0,0,0,1,0,1,4,0,0.9,0,0,0,0,1.041,24.35,1.158,6.112,0.706,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,5.931,1,551
"62","Morocco",0.01234,62,0.006719,65,0.01285,60,0,0,0,1,0,0,1,0,2,2,0,0.659,0,0,0,1,-0.899,25.18,2.338,3.716,0.566,0.016,0,0,0,1,0,1,0,0,0,0,0,0,0,4097000,2024,6.109,1,600
"63","Bahrain",0.01229,63,0.006223,71,0.01258,62,0,0,0,1,0,1,0,1,1,2,0,0.25,1,0,0,1,-1.769,20.6,2.264,2.274,0.582,0.35,0,0,0,1,0,0,0,0,0,0,0,0,0,4097000,2024,5.755,1,692
"64","Nicaragua",0.01205,64,0.007458,58,0.01209,64,0,0,0,1,1,0,0,1,0,1,1,0.006,1,0,1,1,-1.626,22.72,2.202,3.296,0.544,0,1,0,0,0,0,1,0,0,0,2,0,0,1,4097000,2024,7.531,1,93
"65","Uzbekistan",0.01148,65,0.00717,62,0.01157,66,0,0,0,1,1,0,0,1,1,2,0,0.466,0,0,0,1,-0.125,25.12,4.422,3.493,0.313,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4097000,2024,5.087,1,704
"66","North Korea",0.01131,66,0.006384,67,0.0116,65,1,0,1,1,1,0,0,1,1,0,1,0.018,0,1,1,1,-1.205,24.66,-0.3964,3.65,0.02,0,0,1,0,0,0,0,0,0,1,1,0,0,1,4097000,2024,6.267,1,731
"67","Namibia",0.01098,67,0.006275,69,0.008777,76,0,0,0,0,0,1,0,0,1,4,0,0.894,0,0,0,1,0.582,21.53,1.417,5.172,0.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,5.129,1,565
"68","Senegal",0.01077,68,0.006387,66,0.01405,56,0,0,0,0,0,0,1,0,1,4,0,0.79,0,0,0,0,1.306,24.14,4.44,4.814,0.747,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,6.022,1,433
"69","Peru",0.01052,69,0.006275,68,0.01082,67,0,0,0,0,0,0,1,0,1,4,0,0.675,0,0,0,1,0.394,25.03,2.18,3.171,0.618,0,1,0,0,0,0,1,0,0,0,1,0,0,1,4097000,2024,7.651,1,135
"70","Georgia",0.01016,70,0.005887,72,0.004606,112,0,0,0,0,0,0,1,0,1,3,0,0.668,0,0,0,1,0.834,21.81,10.67,2.595,0.367,0,0,0,0,0,1,1,0,0,0,1,0,0,1,4097000,2024,5.087,1,372
"71","Jordan",0.01008,71,0.005517,79,0.01027,69,0,0,0,1,0,0,1,1,1,3,0,0.707,0,1,0,1,0.795,23.46,1.481,3.38,0.044,0.5,0,0,0,1,0,0,0,0,0,1,0,0,1,4097000,2024,6.267,1,663
"72","Djibouti",0.01005,72,0.005808,75,0.01023,71,0,0,0,1,0,1,0,0,1,3,0,0.524,0,0,0,1,-0.366,20.16,4.523,5.955,0.649,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,5.585,1,522
"73","Bosnia and Herzegovina",0.01005,73,0.005884,73,0.01025,70,0,0,0,0,0,0,1,0,1,4,0,0.711,0,0,0,1,0.816,21.59,3.154,2.206,0.637,0.01,0,0,0,0,1,1,0,0,0,0,0,0,1,4097000,2024,5.044,1,346
"74","Brazil",0.01001,74,0.00582,74,0.009976,72,0,0,0,0,0,0,1,0,1,4,0,0.914,0,0,0,0,0.521,27.66,2.977,3.458,0.559,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4097000,2024,7.665,1,140
"75","Argentina",0.009719,75,0.006229,70,0.009319,74,0,0,0,0,0,0,1,0,1,4,0,0.853,0,0,0,0,0.704,25.45,-2.058,2.981,0.158,0,1,0,0,0,0,1,0,0,0,1,0,0,1,4097000,2024,7.707,1,160
"76","Lebanon",0.009706,76,0.005518,78,0.01034,68,0,0,0,0,0,0,1,0,1,4,0,0.736,0,0,0,1,-0.514,22.47,-1.259,3.919,0.133,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,4097000,2024,6.34,1,660
"77","United States of America",0.009697,77,0.005622,76,0.009677,73,0,0,0,0,0,0,1,0,1,4,0,0.89,0,0,0,0,0.635,28.34,1.797,2.224,0.527,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4097000,2024,7.707,1,2
"78","Bhutan",0.009353,78,0.005609,77,0.004001,121,0,0,0,0,0,0,1,0,1,2,0,0.734,0,0,0,0,1.128,19.59,4.153,4.282,0.651,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,4097000,2024,6.248,1,760
"79","Venezuela",0.009023,79,0.005282,80,0.008587,78,0,0,0,1,0,1,0,1,1,3,0,0.181,0,0,0,1,0.06,24.76,6.472,3.85,0.52,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,7.615,1,101
"80","Mexico",0.008498,80,0.005216,82,0.008598,77,0,0,0,1,0,0,1,0,0,4,0,0.803,0,0,0,1,0.694,26.96,0.5848,3.215,0.587,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,7.672,1,70
"81","Israel",0.008359,81,0.007071,63,0.008443,81,0,0,0,1,0,0,1,0,1,4,0,0.824,0,1,0,0,0.687,23.25,-0.3962,1.714,0.376,0.43,0,0,0,1,0,0,14.66,0,0,0,0,0,0,4097000,2024,6.267,1,666
"82","Botswana",0.008321,82,0.005143,84,0.008478,80,0,0,0,0,0,0,1,0,1,4,0,0.856,0,0,0,0,0.346,21.27,-4.563,5.27,0.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4097000,2024,5.883,1,571
"83","Guinea-Bissau",0.008203,83,0.005238,81,0.008193,82,0,0,0,1,0,0,1,1,1,4,0,0.806,0,1,0,1,-0.23,21.07,2.527,6.937,0.808,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4097000,2024,5.672,1,404
"84","United Arab Emirates",0.007812,84,0.004866,85,0.007809,83,0,0,0,1,1,0,0,1,1,3,0,0.367,0,0,0,1,-0.745,23.37,0.01037,2.243,0.684,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4097000,2024,5.755,1,696
"85","Papua New Guinea",0.007548,85,0.004501,88,0.007406,84,0,0,0,0,0,0,1,0,1,4,0,0.829,0,1,0,0,0.376,23.33,2.256,5.629,0.27,0,0,1,0,0,0,0,0,0,0,1,0,0,1,4097000,2024,5.644,1,910
"86","El Salvador",0.007356,86,0.004737,86,0.007294,85,0,0,0,1,0,0,1,0,0,4,0,0.381,0,0,0,1,-0.458,22.6,2.14,3.055,0.165,0,1,0,0,0,0,1,0,0,0,2,0,0,1,4097000,2024,7.531,1,92
"87","Benin",0.007086,87,0.005207,83,0.006704,89,0,0,0,0,0,0,1,0,1,4,0,0.847,0,1,0,0,0.675,23.79,4.84,7.18,0.764,0,0,0,0,0,0,1,6.285,0,0,0,0,0,0,4097000,2024,6.022,1,434
"88","Kazakhstan",0.006975,88,0.003916,96,0.00713,86,0,0,0,1,0,1,0,1,1,3,0,0.486,0,1,0,1,-0.721,24.3,3.464,2.587,0.538,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4097000,2024,5.087,1,705
"89","Eswatini",0.006793,89,0.004655,87,0.006704,90,0,0,1,1,1,0,0,1,1,3,0,0.069,0,0,1,1,0.304,20.25,1.624,6.083,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4097000,2024,5.7,1,572
"90","Comoros",0.006696,90,0.004393,89,0.006762,88,0,0,0,1,0,0,1,0,1,2,0,0.273,0,0,0,0,1.254,19.73,1.451,5.979,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4097000,2024,5.644,1,581
"91","Guatemala",0.006446,91,0.004215,90,0.006587,91,0,0,0,0,0,0,1,0,1,4,0,0.783,1,0,0,1,0.331,24.13,2.067,4.147,0.511,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4097000,2024,7.531,1,90
"92","Azerbaijan",0.006389,92,0.003796,98,0.008891,75,0,0,0,1,0,0,1,1,1,2,0,0.34,0,1,1,1,-1.685,23.28,3.573,3.764,0.122,0,0,0,0,0,1,1,0,0,0,1,0,0,1,4097000,2024,5.087,1,373
"93","South Korea",0.00618,93,0.003839,97,0.006335,92,0,0,0,0,0,0,1,0,1,4,0,0.884,0,1,0,0,0.467,25.63,1.278,1.403,0.095,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4097000,2024,6.267,1,732
